"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","IntelCor_6f:e9:51","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"2","10.240248665","IntelCor_6f:e9:51","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"3","15.293112459","ce:ea:38:d0:77:ce","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"4","15.293105878","192.168.0.2","192.168.0.5","ICMP","98","Echo (ping) request  id=0x0006, seq=1/256, ttl=64 (reply in 5)"
"5","15.293128593","192.168.0.5","192.168.0.2","ICMP","98","Echo (ping) reply    id=0x0006, seq=1/256, ttl=64 (request in 4)"
"6","16.293196931","192.168.0.2","192.168.0.5","ICMP","98","Echo (ping) request  id=0x0006, seq=2/512, ttl=64 (reply in 7)"
"7","16.293216151","192.168.0.5","192.168.0.2","ICMP","98","Echo (ping) reply    id=0x0006, seq=2/512, ttl=64 (request in 6)"
"8","17.296012480","192.168.0.2","192.168.0.5","ICMP","98","Echo (ping) request  id=0x0006, seq=3/768, ttl=64 (reply in 9)"
"9","17.296032021","192.168.0.5","192.168.0.2","ICMP","98","Echo (ping) reply    id=0x0006, seq=3/768, ttl=64 (request in 8)"
"10","18.296282950","192.168.0.2","192.168.0.5","ICMP","98","Echo (ping) request  id=0x0006, seq=4/1024, ttl=64 (reply in 11)"
"11","18.296302914","192.168.0.5","192.168.0.2","ICMP","98","Echo (ping) reply    id=0x0006, seq=4/1024, ttl=64 (request in 10)"
"12","19.296329615","192.168.0.2","192.168.0.5","ICMP","98","Echo (ping) request  id=0x0006, seq=5/1280, ttl=64 (reply in 13)"
"13","19.296349073","192.168.0.5","192.168.0.2","ICMP","98","Echo (ping) reply    id=0x0006, seq=5/1280, ttl=64 (request in 12)"
"14","20.298357725","192.168.0.2","192.168.0.5","ICMP","98","Echo (ping) request  id=0x0006, seq=6/1536, ttl=64 (reply in 15)"
"15","20.298376662","192.168.0.5","192.168.0.2","ICMP","98","Echo (ping) reply    id=0x0006, seq=6/1536, ttl=64 (request in 14)"
"16","20.479988643","32:59:c7:a4:6e:b8","ce:ea:38:d0:77:ce","ARP","42","Who has 192.168.0.2? Tell 192.168.0.5"
"17","20.479997786","ce:ea:38:d0:77:ce","32:59:c7:a4:6e:b8","ARP","42","192.168.0.2 is at ce:ea:38:d0:77:ce"
"18","20.480030537","IntelCor_6f:e9:51","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"19","21.299851900","192.168.0.2","192.168.0.5","ICMP","98","Echo (ping) request  id=0x0006, seq=7/1792, ttl=64 (reply in 20)"
"20","21.299873009","192.168.0.5","192.168.0.2","ICMP","98","Echo (ping) reply    id=0x0006, seq=7/1792, ttl=64 (request in 19)"
"21","27.646024505","192.168.0.6","192.168.0.5","ICMP","98","Echo (ping) request  id=0x0001, seq=1/256, ttl=64 (reply in 22)"
"22","27.646044974","192.168.0.5","192.168.0.6","ICMP","98","Echo (ping) reply    id=0x0001, seq=1/256, ttl=64 (request in 21)"
"23","28.646318086","192.168.0.6","192.168.0.5","ICMP","98","Echo (ping) request  id=0x0001, seq=2/512, ttl=64 (reply in 24)"
"24","28.646337160","192.168.0.5","192.168.0.6","ICMP","98","Echo (ping) reply    id=0x0001, seq=2/512, ttl=64 (request in 23)"
"25","29.648044819","192.168.0.6","192.168.0.5","ICMP","98","Echo (ping) request  id=0x0001, seq=3/768, ttl=64 (reply in 26)"
"26","29.648063233","192.168.0.5","192.168.0.6","ICMP","98","Echo (ping) reply    id=0x0001, seq=3/768, ttl=64 (request in 25)"
"27","30.649054771","192.168.0.6","192.168.0.5","ICMP","98","Echo (ping) request  id=0x0001, seq=4/1024, ttl=64 (reply in 28)"
"28","30.649073830","192.168.0.5","192.168.0.6","ICMP","98","Echo (ping) reply    id=0x0001, seq=4/1024, ttl=64 (request in 27)"
"29","30.720278374","IntelCor_6f:e9:51","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"30","31.650454848","192.168.0.6","192.168.0.5","ICMP","98","Echo (ping) request  id=0x0001, seq=5/1280, ttl=64 (reply in 31)"
"31","31.650474107","192.168.0.5","192.168.0.6","ICMP","98","Echo (ping) reply    id=0x0001, seq=5/1280, ttl=64 (request in 30)"
"32","32.768192412","32:59:c7:a4:6e:b8","de:31:4e:69:63:19","ARP","42","Who has 192.168.0.6? Tell 192.168.0.5"
"33","32.772963198","de:31:4e:69:63:19","32:59:c7:a4:6e:b8","ARP","42","192.168.0.6 is at de:31:4e:69:63:19"
"34","40.960006092","IntelCor_6f:e9:51","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"35","40.960010669","ba:be:04:3f:c6:0c","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"36","51.200037715","IntelCor_6f:e9:51","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"37","61.439897172","IntelCor_6f:e9:51","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"38","71.680216424","IntelCor_6f:e9:51","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"39","81.919997077","IntelCor_6f:e9:51","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"40","83.467178471","192.168.0.5","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"41","83.467230127","fe80::3059:c7ff:fea4:6eb8","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"42","92.160026440","IntelCor_6f:e9:51","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"43","102.400320831","IntelCor_6f:e9:51","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"44","102.400326055","ba:be:cc:71:93:16","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"45","109.943219654","192.168.0.2","192.168.0.5","TCP","74","56160  >  3333 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2516232163 TSecr=0 WS=128"
"46","109.943246049","192.168.0.5","192.168.0.2","TCP","74","3333  >  56160 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=654714795 TSecr=2516232163 WS=128"
"47","109.967030090","192.168.0.2","192.168.0.5","TCP","66","56160  >  3333 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2516232187 TSecr=654714795"
"48","109.967030173","192.168.0.2","192.168.0.5","TCP","86","56160  >  3333 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=20 TSval=2516232187 TSecr=654714795"
"49","109.967060802","192.168.0.5","192.168.0.2","TCP","66","3333  >  56160 [ACK] Seq=1 Ack=21 Win=65152 Len=0 TSval=654714818 TSecr=2516232187"
"50","112.640278053","IntelCor_6f:e9:51","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"51","122.879995815","IntelCor_6f:e9:51","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"52","132.573142514","be:89:05:c4:cb:2d","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"53","132.573135444","192.168.0.3","224.0.0.251","MDNS","183","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question"
"54","133.119948045","IntelCor_6f:e9:51","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"55","133.119954344","IntelCor_6f:e9:51","Broadcast","ARP","42","Gratuitous ARP for 0.0.0.0 (Reply)"
"56","133.211914266","fe80::bc89:5ff:fec4:cb2d","ff02::fb","MDNS","203","Standard query 0x0000 PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question"
"57","137.968062106","192.168.0.2","192.168.0.5","TCP","66","56160  >  3333 [FIN, ACK] Seq=21 Ack=1 Win=64256 Len=0 TSval=2516260194 TSecr=654714818"
"58","137.968135407","192.168.0.5","192.168.0.2","TCP","66","3333  >  56160 [FIN, ACK] Seq=1 Ack=22 Win=65152 Len=0 TSval=654742820 TSecr=2516260194"
"59","137.968989244","192.168.0.2","192.168.0.5","TCP","66","56160  >  3333 [ACK] Seq=22 Ack=2 Win=64256 Len=0 TSval=2516260196 TSecr=654742820"
